name,minutesPlayed,season,school,gamesPlayed,gamesStarted,mpg,fgmpg,fgapg,twopmpg,twopapg,threepmpg,threepapg,ftmpg,ftapg,orebpg,drebpg,totalrebpg,astpg,spg,bpg,topg,foulspg,ppg,fgPercent,twoPercent,threePercent,ftPercent,tsPercent,efgPercent,position,grade,ws,ortg,drating,ows,dws,wsp40,obpm,dbpm,bpm,per,orebrate,drebrate,totalrebrate,astrate,stlrate,blkrate,tovrate,usgrate
Aday Mara,520,2025-26,Michigan,23,22,22.6,4.6,6.9,4.5,6.7,0.1,0.3,2,4.2,2,5,6.9,2.2,0.4,2.7,2,2.3,11.3,0.667,0.68,0.333,0.49,0.638,0.673,C,JR,2.9,119,88,1.3,1.6,0.225,4.8,8.6,13.4,25.1,11,21,16.7,16.7,1,13.1,18,22.5
AJ Dybantsa,787,2025-26,Brigham Young,24,24,32.8,8.4,15.3,7.1,11.8,1.3,3.6,6.4,8.5,1.4,4.9,6.3,3.7,1.1,0.4,2.7,1.3,24.5,0.549,0.603,0.372,0.754,0.634,0.592,F,FR,4.8,128,106,3.6,1.2,0.246,10.2,2.7,12.9,30,4.8,15.9,10.5,22.2,1.9,1.3,12.3,32.1
Alex Condon,669,2025-26,Florida,22,22,30.4,4.6,9.2,4.4,7.2,0.3,2,3.8,6,2.2,5.8,8,3.7,0.7,1.5,2.2,2.7,13.4,0.505,0.608,0.136,0.641,0.556,0.52,F,JR,3.1,119,98,1.5,1.6,0.183,4.3,5.7,10,20.2,7.6,19.8,13.7,19.9,1.3,4.8,15.4,21
Alex Karaban,806,2025-26,Connecticut,24,24,33.6,4.9,10.2,3,5.8,1.9,4.5,1.9,2.3,1.9,3.6,5.5,2.3,0.9,0.9,0.8,2.3,13.5,0.478,0.522,0.421,0.818,0.598,0.569,F,SR,4.1,132,99,2.3,1.7,0.202,5.6,3.7,9.4,19,7,12.1,9.7,12.1,1.6,3.1,6.9,18.4
Alvaro Folgueiras,466,2025-26,Iowa,23,1,20.3,3,5.9,1.9,2.8,1.1,3.1,1.6,2.3,0.8,3,3.9,2,0.8,0.3,1.1,2,8.7,0.507,0.662,0.366,0.692,0.622,0.603,F,JR,2.4,125,99,1.3,1,0.203,4.5,3.6,8.1,20.7,5.8,20.1,13.1,18,2.4,2.2,13.5,21.8
Baba Miller,685,2025-26,Cincinnati,22,22,31.1,5.1,9.5,4.9,7.8,0.2,1.7,3.3,5,2.4,8.1,10.5,3,0.8,1.3,2.1,2.1,13.6,0.536,0.628,0.108,0.655,0.574,0.545,F,SR,3.2,114,92,1.3,1.9,0.188,3.7,5.7,9.4,21.6,8.3,29.2,18.6,20.6,1.5,5,15,22
Bennett Stirtz,838,2025-26,Iowa,23,23,36.4,6.7,13.1,4.2,7.1,2.4,6,4.2,5,0.2,2.2,2.3,4.8,1.5,0.1,2,2,19.9,0.507,0.591,0.406,0.842,0.643,0.599,G,SR,4.9,131,104,3.4,1.5,0.235,8,2.7,10.7,23.9,0.7,8,4.4,26.4,2.6,0.5,11.4,26.3
Braden Smith,808,2025-26,Purdue,24,24,33.7,5.6,11.5,3.8,7.1,1.8,4.4,2.1,2.7,0.6,3.3,3.8,8.8,1.8,0.2,3,1.5,15.1,0.487,0.529,0.419,0.769,0.592,0.567,G,SR,4.1,123,103,2.6,1.5,0.203,7.6,3.9,11.5,22.5,2.2,11.3,6.9,43.8,3.2,0.8,19.3,24.1
Brayden Burries,690,2025-26,Arizona,24,24,28.8,5.6,11.1,4,6.7,1.7,4.4,2.8,3.5,0.5,4.2,4.7,2.6,1.6,0.3,1.4,2.2,15.7,0.508,0.59,0.381,0.788,0.615,0.583,G,FR,4,129,94,2.1,1.9,0.233,5.3,5.6,10.8,21.7,2.1,14.2,8.7,15.2,3.1,0.9,10,22.9
Braylon Mullins,444,2025-26,Connecticut,17,13,26.1,4.4,9.2,2.1,3.4,2.2,5.8,0.8,0.9,0.9,2.4,3.3,1.4,1.2,0.5,1.2,2.7,11.7,0.474,0.632,0.384,0.813,0.608,0.596,G,FR,1.9,119,98,0.9,1,0.173,4.4,4.5,8.9,17.2,4.2,10.5,7.5,9.8,2.7,2,11.4,21.2
